row_number,id_in_master,Year,Month,Day,file_name,sample_type,etraction,species,plant_number,chemistry_number,associated_blank,associated_RTI,Associated_Combined
1,10134,2022,Jun,6,RN18_50_214,Standard,,S2,2,cS002,,,
2,10135,2022,Jun,6,RN18_50_215,Standard,,S2,2,cS002,,RN18_50_214,
3,10136,2022,Jun,6,BN50_38,Blank,,S1,1,cS001,BN50_38,RN18_50_215,COMBINED_1
4,10137,2022,Jun,6,DNE_3109,Sample,ENE 3109,,,CJG1826,BN50_38,RN18_50_215,COMBINED_1
5,10138,2022,Jun,6,DNE_1730,Sample,ENE 1730,,,CJG229,BN50_38,RN18_50_215,COMBINED_1
6,10139,2022,Jun,6,DNE_668,Sample,ENE 668,,,CJG010,BN50_38,RN18_50_215,COMBINED_1
7,10140,2022,Jun,6,DNE_2770,Sample,ENE 2770,,,CJG270,BN50_38,RN18_50_215,COMBINED_1
8,10141,2022,Jun,6,DNE_2965,Sample,ENE 2965,,,CJG798,BN50_38,RN18_50_215,COMBINED_1
9,10142,2022,Jun,6,DNE_2987,Sample,ENE 2987,,,CJG1952,BN50_38,RN18_50_215,COMBINED_1
10,10143,2022,Jun,6,DNE_2989,Sample,ENE 2989,,,CJG1942,BN50_38,RN18_50_215,COMBINED_1
11,10144,2022,Jun,6,DNE_2772,Sample,ENE 2772,,,CJG482,BN50_38,RN18_50_215,
12,10145,2022,Jun,6,RN18_50_216,Standard,,S2,2,,BN50_38,RN18_50_215,COMBINED_1
13,10146,2022,Jun,6,DNE_753,Sample,ENE 753,,,CJG095,BN50_38,RN18_50_216,COMBINED_1
14,10147,2022,Jun,6,DNE_2731,Sample,ENE 2731,,,CJG1142,BN50_38,RN18_50_216,COMBINED_1
15,10148,2022,Jun,6,COMBINED_1,Pooled,,S3,3,,BN50_38,RN18_50_216,COMBINED_2
16,10149,2022,Jun,6,DNE_2983,Sample,ENE 2983,,,CJG1930,BN50_38,RN18_50_216,COMBINED_2
17,10150,2022,Jun,6,DNE_709,Sample,ENE 709,,,CJG051,BN50_38,RN18_50_216,COMBINED_2
18,10151,2022,Jun,6,DNE_3117,Sample,ENE 3117,,,CJG1831,BN50_38,RN18_50_216,COMBINED_2
19,10152,2022,Jun,6,DNE_2730,Sample,ENE 2730,,,CJG1102,BN50_38,RN18_50_216,COMBINED_2
20,10153,2022,Jun,6,DNE_2745,Sample,ENE 2745,,,CJG748,BN50_38,RN18_50_216,COMBINED_2
21,10154,2022,Jun,6,RN18_50_217,Standard,,S2,2,,BN50_38,RN18_50_216,COMBINED_2
22,10155,2022,Jun,6,DNE_759,Sample,ENE 759,,,CJG101,BN50_38,RN18_50_217,COMBINED_2
23,10156,2022,Jun,6,DNE_754,Sample,ENE 754,,,CJG096,BN50_38,RN18_50_217,COMBINED_2
24,10157,2022,Jun,6,DNE_3102,Sample,ENE 3102,,,CJG1813,BN50_38,RN18_50_217,COMBINED_2
25,10158,2022,Jun,6,DNE_2773,Sample,ENE 2773,,,CJG181,BN50_38,RN18_50_217,COMBINED_2
26,10159,2022,Jun,6,DNE_3110,Sample,ENE 3110,,,CJG1811,BN50_38,RN18_50_217,#N/A
27,10160,2022,Jun,6,COMBINED_2,Pooled,,S3,3,,BN50_38,RN18_50_217,COMBINED_3_MSMS
